Season,Year,SeasonalSOI,Phase
Summer,1992,-7.2,ElNino
Summer,1993,0.19999999999999998,Neutral
Summer,1994,-6.1,Neutral
Summer,1995,1.3333333333333335,Neutral
Summer,1996,8.2,LaNina
Summer,1997,-17.266666666666666,ElNino
Summer,1998,12.5,LaNina
Summer,1999,10.266666666666667,LaNina
Summer,2000,9.333333333333334,LaNina
Summer,2001,0.43333333333333357,Neutral
Summer,2002,-6.666666666666667,Neutral
Summer,2003,2.266666666666667,Neutral
Summer,2004,-11.6,ElNino
Summer,2005,4.3,Neutral
Summer,2006,-4.666666666666667,Neutral
Summer,2007,16.6,LaNina
Summer,2008,12.5,LaNina
Summer,2009,-10.533333333333333,ElNino
Summer,2010,23.1,LaNina
Summer,2011,11.633333333333333,LaNina
Summer,2012,-3.566666666666667,Neutral
Summer,2013,3.833333333333333,Neutral
Summer,2014,-4.233333333333333,Neutral
Summer,2015,-16.166666666666664,ElNino
Summer,2016,0.5666666666666667,Neutral
Summer,2017,0.5000000000000001,Neutral
Summer,2018,-1.5999999999999996,Neutral
Summer,2019,-2.1333333333333333,Neutral
Summer,2020,14.966666666666667,LaNina
Summer,2021,8.7,LaNina
Winter,1876,7.966666666666667,LaNina
Winter,1877,-11.733333333333333,ElNino
Winter,1878,8.6,LaNina
Winter,1879,20.266666666666666,LaNina
Winter,1880,8.333333333333334,LaNina
Winter,1881,-7.233333333333333,ElNino
Winter,1882,-19.633333333333333,ElNino
Winter,1883,-1.7999999999999998,Neutral
Winter,1884,0.36666666666666653,Neutral
Winter,1885,-9.633333333333333,ElNino
Winter,1886,8.666666666666666,LaNina
Winter,1887,4.8,Neutral
Winter,1888,-13.866666666666667,ElNino
Winter,1889,8.566666666666666,LaNina
Winter,1890,0.1333333333333333,Neutral
Winter,1891,-5.566666666666666,Neutral
Winter,1892,10.966666666666667,LaNina
Winter,1893,10.833333333333332,LaNina
Winter,1894,-3.1666666666666665,Neutral
Winter,1895,-3.8,Neutral
Winter,1896,-24.533333333333335,ElNino
Winter,1897,-0.43333333333333324,Neutral
Winter,1898,1.9666666666666666,Neutral
Winter,1899,-8.7,ElNino
Winter,1900,14.633333333333333,LaNina
Winter,1901,14.666666666666668,LaNina
Winter,1902,-1.5666666666666667,Neutral
Winter,1903,1.8666666666666665,Neutral
Winter,1904,-5.066666666666666,Neutral
Winter,1905,-20.1,ElNino
Winter,1906,6.133333333333333,Neutral
Winter,1907,-1.3999999999999995,Neutral
Winter,1908,1.7333333333333334,Neutral
Winter,1909,14.433333333333334,LaNina
Winter,1910,17.433333333333334,LaNina
Winter,1911,-12.3,ElNino
Winter,1912,-4.766666666666667,Neutral
Winter,1913,-4.3999999999999995,Neutral
Winter,1914,-17.333333333333332,ElNino
Winter,1915,9.266666666666666,LaNina
Winter,1916,17,LaNina
Winter,1917,28.099999999999998,LaNina
Winter,1918,-7.733333333333333,ElNino
Winter,1919,-8.733333333333334,ElNino
Winter,1920,7.1,LaNina
Winter,1921,6,Neutral
Winter,1922,2.2666666666666666,Neutral
Winter,1923,-9.666666666666666,ElNino
Winter,1924,8.700000000000001,LaNina
Winter,1925,-9.633333333333333,ElNino
Winter,1926,-5.233333333333333,Neutral
Winter,1927,3.1333333333333333,Neutral
Winter,1928,0.5000000000000001,Neutral
Winter,1929,0.9,Neutral
Winter,1930,-3.8666666666666667,Neutral
Winter,1931,9.433333333333334,LaNina
Winter,1932,-5.533333333333333,Neutral
Winter,1933,-0.3,Neutral
Winter,1934,-2.933333333333333,Neutral
Winter,1935,-0.19999999999999993,Neutral
Winter,1936,-2.066666666666667,Neutral
Winter,1937,0.3666666666666667,Neutral
Winter,1938,16.5,LaNina
Winter,1939,2.033333333333333,Neutral
Winter,1940,-17.733333333333334,ElNino
Winter,1941,-18.033333333333335,ElNino
Winter,1942,3.766666666666667,Neutral
Winter,1943,0.9333333333333331,Neutral
Winter,1944,-3.166666666666667,Neutral
Winter,1945,7.833333333333333,LaNina
Winter,1946,-8.066666666666666,ElNino
Winter,1947,6.4,Neutral
Winter,1948,-2.7333333333333334,Neutral
Winter,1949,-6.033333333333333,Neutral
Winter,1950,20.1,LaNina
Winter,1951,-1.2333333333333332,Neutral
Winter,1952,2.4,Neutral
Winter,1953,-6.833333333333333,Neutral
Winter,1954,4.366666666666667,Neutral
Winter,1955,16.833333333333332,LaNina
Winter,1956,11.966666666666667,LaNina
Winter,1957,-3.6333333333333333,Neutral
Winter,1958,3.4,Neutral
Winter,1959,-5.433333333333334,Neutral
Winter,1960,3.033333333333333,Neutral
Winter,1961,-0.2666666666666666,Neutral
Winter,1962,3.0666666666666664,Neutral
Winter,1963,-4.333333333333333,Neutral
Winter,1964,9.5,LaNina
Winter,1965,-15.600000000000001,ElNino
Winter,1966,1.3333333333333333,Neutral
Winter,1967,4.7,Neutral
Winter,1968,6.6000000000000005,Neutral
Winter,1969,-3.966666666666667,Neutral
Winter,1970,2.766666666666667,Neutral
Winter,1971,6.366666666666667,Neutral
Winter,1972,-13.166666666666668,ElNino
Winter,1973,10.233333333333334,LaNina
Winter,1974,7.066666666666666,LaNina
Winter,1975,19.1,LaNina
Winter,1976,-8.233333333333334,ElNino
Winter,1977,-14.833333333333332,ElNino
Winter,1978,4.433333333333334,Neutral
Winter,1979,-2.4666666666666663,Neutral
Winter,1980,-1.6666666666666667,Neutral
Winter,1981,8.933333333333334,LaNina
Winter,1982,-21,ElNino
Winter,1983,-3.533333333333333,Neutral
Winter,1984,-1.2666666666666664,Neutral
Winter,1985,-1.133333333333333,Neutral
Winter,1986,1.7666666666666666,Neutral
Winter,1987,-17.566666666666666,ElNino
Winter,1988,7.433333333333334,LaNina
Winter,1989,3.5000000000000004,Neutral
Winter,1990,0.5,Neutral
Winter,1991,-4.933333333333334,Neutral
Winter,1992,-6.1000000000000005,Neutral
Winter,1993,-13.6,ElNino
Winter,1994,-15.2,ElNino
Winter,1995,1.1666666666666667,Neutral
Winter,1996,8.433333333333334,LaNina
Winter,1997,-17.8,ElNino
Winter,1998,11.433333333333334,LaNina
Winter,1999,2.6333333333333333,Neutral
Winter,2000,-1.3,Neutral
Winter,2001,-3.3666666666666663,Neutral
Winter,2002,-9.5,ElNino
Winter,2003,-3.6333333333333333,Neutral
Winter,2004,-9.9,ElNino
Winter,2005,-1.1333333333333333,Neutral
Winter,2006,-9.933333333333334,ElNino
Winter,2007,0.9,Neutral
Winter,2008,5.166666666666667,Neutral
Winter,2009,-1.9,Neutral
Winter,2010,13.700000000000001,LaNina
Winter,2011,4.333333333333333,Neutral
Winter,2012,-5.7,Neutral
Winter,2013,7.166666666666667,LaNina
Winter,2014,-5.3,Neutral
Winter,2015,-15.5,ElNino
Winter,2016,5.1,Neutral
Winter,2017,0.33333333333333304,Neutral
Winter,2018,-3.6,Neutral
Winter,2019,-6.8,Neutral
Winter,2020,1.466666666666667,Neutral
Winter,2021,7.7,LaNina
